"","year","cowcode","seriousattempt","success","perexitregularNC201","npolity2dummy","npolity2dummy11","absnpolity2dummy11","lautoc","successlautoc","successldemoc","weapondum2","weapondum3","weapondum4","weapondum5","weapondum6","numserdum2","numserdum3","numserdum4"
"1",1875,"AFG",0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"2",1876,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"3",1877,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"4",1878,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"5",1879,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"6",1880,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"7",1881,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"8",1882,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"9",1883,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"10",1884,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"11",1885,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"12",1886,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"13",1887,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"14",1888,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"15",1889,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"16",1890,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"17",1891,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"18",1892,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"19",1893,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"20",1894,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"21",1895,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"22",1896,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"23",1897,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"24",1898,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"25",1899,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"26",1900,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"27",1901,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"28",1902,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"29",1903,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"30",1904,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"31",1905,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"32",1906,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"33",1907,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"34",1908,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"35",1909,"AFG",0,0,0.333333343267441,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"36",1910,"AFG",0,0,0.333333343267441,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"37",1911,"AFG",0,0,0.333333343267441,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"38",1912,"AFG",0,0,0.333333343267441,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"39",1913,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"40",1914,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"41",1915,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"42",1916,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"43",1917,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"44",1918,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"45",1919,"AFG",1,1,0.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"46",1920,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"47",1921,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"48",1922,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"49",1923,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"50",1924,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"51",1925,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"52",1926,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"53",1927,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"54",1928,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"55",1929,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"56",1930,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"57",1931,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"58",1932,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"59",1933,"AFG",1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"60",1934,"AFG",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"61",1935,"AFG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"62",1936,"AFG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"63",1937,"AFG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"64",1938,"AFG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"65",1939,"AFG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"66",1940,"AFG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"67",1941,"AFG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"68",1942,"AFG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"69",1943,"AFG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"70",1944,"AFG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"71",1945,"AFG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"72",1946,"AFG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"73",1947,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"74",1948,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"75",1949,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"76",1950,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"77",1951,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"78",1952,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"79",1953,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"80",1954,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"81",1955,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"82",1956,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"83",1957,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"84",1958,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"85",1959,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"86",1960,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"87",1961,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"88",1962,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"89",1963,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"90",1964,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"91",1965,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"92",1966,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"93",1967,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"94",1968,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"95",1969,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"96",1970,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"97",1971,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"98",1972,"AFG",0,0,0.16666667163372,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"99",1973,"AFG",0,0,0.16666667163372,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"100",1974,"AFG",0,0,0.200000002980232,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"101",1975,"AFG",0,0,0.200000002980232,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"102",1976,"AFG",0,0,0.16666667163372,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"103",1977,"AFG",0,0,0.16666667163372,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"104",1978,"AFG",0,0,0.16666667163372,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"105",1979,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"106",1980,"AFG",0,0,0.333333343267441,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"107",1981,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"108",1982,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"109",1983,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"110",1984,"AFG",0,0,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"111",1985,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"112",1986,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"113",1987,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"114",1988,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"115",1989,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"116",1990,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"117",1991,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"118",1992,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"119",1993,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"120",1994,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"121",1995,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"122",1996,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"123",1997,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"124",1998,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"125",1999,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"126",2000,"AFG",0,0,NA,0,NA,NA,1,0,0,0,0,0,0,1,0,0,0
"127",2001,"AFG",0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0
"128",2002,"AFG",1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"129",2003,"AFG",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"130",2004,"AFG",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"131",1912,"ALB",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"132",1913,"ALB",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"133",1914,"ALB",0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"134",1915,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"135",1916,"ALB",0,0,NA,0,NA,NA,1,0,0,0,0,0,0,1,0,0,0
"136",1918,"ALB",0,0,0.699999988079071,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"137",1919,"ALB",0,0,0.636363625526428,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"138",1920,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"139",1921,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"140",1922,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"141",1923,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"142",1924,"ALB",1,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"143",1925,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"144",1926,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"145",1927,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"146",1928,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"147",1929,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"148",1930,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"149",1931,"ALB",1,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"150",1932,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"151",1933,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"152",1934,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"153",1935,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"154",1936,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"155",1937,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"156",1938,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"157",1939,"ALB",0,0,NA,0,NA,NA,1,0,0,0,0,0,0,1,0,0,0
"158",1944,"ALB",0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"159",1945,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"160",1946,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"161",1947,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"162",1948,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"163",1949,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"164",1950,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"165",1951,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"166",1952,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"167",1953,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"168",1954,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"169",1955,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"170",1956,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"171",1957,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"172",1958,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"173",1959,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"174",1960,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"175",1961,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"176",1962,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"177",1963,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"178",1964,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"179",1965,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"180",1966,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"181",1967,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"182",1968,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"183",1969,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"184",1970,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"185",1971,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"186",1972,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"187",1973,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"188",1974,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"189",1975,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"190",1976,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"191",1977,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"192",1978,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"193",1979,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"194",1980,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"195",1981,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"196",1982,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"197",1983,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"198",1984,"ALB",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"199",1985,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"200",1986,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"201",1987,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"202",1988,"ALB",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"203",1989,"ALB",0,0,NA,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"204",1990,"ALB",0,0,NA,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"205",1991,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"206",1992,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"207",1993,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"208",1994,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"209",1995,"ALB",0,0,NA,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
"210",1996,"ALB",0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"211",1997,"ALB",0,0,NA,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"212",1998,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"213",1999,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"214",2000,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"215",2001,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"216",2002,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"217",2003,"ALB",0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"218",2004,"ALB",0,0,NA,1,NA,NA,0,0,0,0,0,0,0,1,0,0,0
"219",1962,"ALG",0,0,0.5,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"220",1963,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"221",1964,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"222",1965,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"223",1966,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"224",1967,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"225",1968,"ALG",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"226",1969,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"227",1970,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"228",1971,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"229",1972,"ALG",0,0,0.333333343267441,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"230",1973,"ALG",0,0,0.333333343267441,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"231",1974,"ALG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"232",1975,"ALG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"233",1976,"ALG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"234",1977,"ALG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"235",1978,"ALG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"236",1979,"ALG",0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"237",1980,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"238",1981,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"239",1982,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"240",1983,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"241",1984,"ALG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"242",1985,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"243",1986,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"244",1987,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"245",1988,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"246",1989,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"247",1990,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"248",1991,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"249",1992,"ALG",1,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"250",1993,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"251",1994,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"252",1995,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"253",1996,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"254",1997,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"255",1998,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"256",1999,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"257",2000,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"258",2001,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"259",2002,"ALG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"260",2003,"ALG",0,0,NA,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"261",2004,"ALG",0,0,NA,1,NA,NA,1,0,0,0,0,0,0,1,0,0,0
"262",1975,"ANG",0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"263",1976,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"264",1977,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"265",1978,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"266",1979,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"267",1980,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"268",1981,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"269",1982,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"270",1983,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"271",1984,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"272",1985,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"273",1986,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"274",1987,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"275",1988,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"276",1989,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"277",1990,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"278",1991,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"279",1992,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"280",1993,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"281",1994,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"282",1995,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"283",1996,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"284",1997,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"285",1998,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"286",1999,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"287",2000,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"288",2001,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"289",2002,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"290",2003,"ANG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"291",2004,"ANG",0,0,NA,0,NA,NA,1,0,0,0,0,0,0,1,0,0,0
"292",1875,"ARG",0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"293",1876,"ARG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"294",1877,"ARG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"295",1878,"ARG",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"296",1879,"ARG",0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"297",1880,"ARG",0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"298",1881,"ARG",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"299",1882,"ARG",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
